"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_008","VB0889_009","VB0889_010","VB0889_011","VB0889_012","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_019","VB0889_020","VB0889_021","VB0889_022","VB0889_023","VB0889_024","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_031","VB0889_032","VB0889_033","VB0889_034","VB0889_035","VB0889_036","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_043","VB0889_044","VB0889_045","VB0889_046","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_055","VB0889_056","VB0889_057","VB0889_058","VB0889_059","VB0889_060","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_067","VB0889_068","VB0889_070","VB0889_071","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_079","VB0889_080","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090","VB0889_091","VB0889_093","VB0889_094","VB0889_095","VB0889_097","VB0889_098","VB0889_099","VB0889_100","VB0889_101","VB0889_102","VB0889_103","VB0889_104","VB0889_105","VB0889_106","VB0889_107","VB0889_108","VB0889_109","VB0889_110","VB0889_111","VB0889_112","VB0889_113","VB0889_114","VB0889_116","VB0889_117","VB0889_118","VB0889_119","VB0889_120","VB0889_121","VB0889_122","VB0889_124","VB0889_125","VB0889_126","VB0889_127","VB0889_128","VB0889_129","VB0889_130","VB0889_131","VB0889_132","VB0889_133","VB0889_135","VB0889_136","VB0889_137","VB0889_138"
"115","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_3755060e188aeab34219fbb11bdac4e0",0,0,0,0,0,0,114,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0
"116","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5e14a5ea38097fab98a93b366b2eac37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_c4d4785dead27fc2f245ccf4248a04ee",27,0,0,0,0,5,0,0,17,0,0,0,3,0,0,0,1,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"118","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_ambigua_6ad7d1571580fa85052b62c9af2d8844",0,4,0,12,0,0,1,7,10,2,0,0,0,2,0,12,2,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,1,0,0,0,0,0,10,0,4,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,8,1,11,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,2,1,5,9
"119","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascodesmidaceae_Cephaliophora_Cephaliophora_sp_3902fa8da746b3cfbe383b00521d338c",17,0,0,13,1,0,0,2,0,2,7,0,0,0,1,0,2,2,0,2,0,7,0,3,0,1,0,4,1,2,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,3,0,3,0,0,1,0,2,1,0,1,0,0,0,1,0,1,0,1,4,0,2,0,4,0,1,2,0,4,0,0,0,0,0,0,0,4,0,11,0,5,0,3,3,1,0,0,0,1,1,0,2,5,0,0,5,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,2,4,1,0,0,7,0,0,0,0,1,0,1,2
"120","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_flavus_2f9297cdaa96a84c203bafc26ad7ef58",0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,2,0,0,12,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,3,0,7,5,3,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,22,0,0,0,2,0,0,1,0,8,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"121","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_7b34a0d4f90d284ef86532785de39a5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0
"122","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_46f9869099d8964a5f9af5184b8b1b22",0,0,0,2,2,0,0,7,0,0,0,4,0,0,0,3,3,0,6,5,0,2,3,0,0,0,0,4,0,0,4,0,0,2,0,0,4,9,10,0,0,0,0,0,2,5,0,0,0,3,1,6,0,7,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0,7,0,7,0,2,0,0,0,1,3,1,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,0,0,4,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
"123","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_946ecfae9b914145c37abf350d5e51f0",0,55,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,22,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"124","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_bb27b76d8adc795671568329ee0545bd",0,0,0,0,0,0,0,1,0,0,3,9,0,0,1,0,0,3,0,1,0,0,0,0,1,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,4,2,2,0,0,1,0,0,13,5,1,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,2,0,0,6,0,4,1,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,4,0
"125","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0c5468ffccf03006f0e0ed81a7604f56",0,3,0,0,0,0,3,0,0,3,0,0,3,5,0,0,2,0,4,0,0,0,0,0,2,6,0,0,1,2,0,9,0,0,0,0,0,20,2,0,0,0,6,5,2,4,0,0,1,0,0,0,0,0,0,2,2,1,0,0,3,0,0,3,1,0,3,0,5,0,0,0,0,2,1,0,7,0,4,8,0,0,0,0,3,0,6,0,0,0,2,0,2,0,0,2,2,0,0,4,6,0,0,3,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,1,11,0,0,7,0,0,0,0,0
"126","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_globosa_814c4e99bc4e7a376311891f112f5eeb",11,0,2,0,0,1,0,0,0,1,3,2,5,0,0,0,1,0,0,0,8,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,15,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,34,2,7,7,0,1,0,0,0,1,1,0,0,2,1,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,5
"127","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_1f533a953cf14039236f3fa826b1e083",0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,7,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,3,0,0,0,0,35,0,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,2,3,0,0,15,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"128","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e222ea09efd35d5da17adf1dd6f5abb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_wolfii_31f95534b4b66a435bb511db12e2caca",0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,1,2,3,0,3,0,0,1,2,0,0,0,5,0,0,3,0,0,0,0,1,4,1,12,0,2,1,0,0,3,0,0,0,2,1,0,0,10,0,1,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,1,0,0,0,0,3,11,0,5,4,2,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,38
"130","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_cf7eebbf15ad2583e6df48d41e76cde7",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,0,15,0,0,6,0,8,11
"131","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_5f81f20047c3fb5f68cf40c997c3f907",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
"132","Fungi_Rozellomycota_Rozellomycota_cls_Incertae_sedis_Rozellomycota_ord_Incertae_sedis_Rozellomycota_fam_Incertae_sedis_Rozellomycota_gen_Incertae_sedis_Rozellomycota_sp_56e7afe934c9fede8971f14af3acd92b",3,1,0,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,20,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,2,8,0,0,0,0,0,0,0,0,1,6,0,20,0,0,0,0,0,0,0,4,0,0,12,0,1,1,0,0,0,0,0,5,0,1,0,0,0,1,6,2,4,2,0,5,0,0,1,0,0,2,0,0,0,0,0,1,2,2,1,0,2,0,0,6,0,0,0,0,2,0,0,3,0,3,5,1,0,2,0,0,0,0,4,0,0,0,0,13
"133","Fungi_Basidiomycota_Agaricomycetes_Agaricales_Pluteaceae_Volvariella_unclassified_961f316417631312b4a3b483d1101414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_18a0cb9c1a1b24adfa0cfe243b109968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_unclassified_68adf083cd595a75c31803dfb7bd8876",0,5,0,4,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,7,0,9,0,0,7,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"136","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Microascus_Microascus_alveolaris_4e6cdf7d884d86fba1833ae3aecda2f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_c61655c3897573ba20793038b7cf8cb1",15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"138","Fungi_Ascomycota_Sordariomycetes_Lulworthiales_Lulworthiaceae_Lulworthiaceae_gen_Incertae_sedis_Lulworthiaceae_sp_71f3d2c3942a985b375cb65b81dcb1ef",0,0,0,0,9,0,3,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,23,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_6c6ee7442c8590fbb997d6d463d030ae",18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,3,0,6,0,0,0,0,9,0,0,0,1,0,6,0,0,0,0,0
"140","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_8c0c9393ac87ed2af73d02bebeb11fbe",0,51,0,2,0,1,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,8,0,4,0,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12,0,0,21
"141","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_861fa7868a75fdc2269d2fa7bbc85573",0,0,0,1,0,0,2,9,0,1,3,0,0,2,0,0,0,2,0,2,0,0,0,2,1,1,0,10,0,4,0,0,0,0,0,0,1,0,4,2,0,0,8,0,0,1,2,5,0,0,0,0,8,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,0,0,1,7,0,2,0,1,10,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
"142","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Septoglomus_Septoglomus_sp_8d03350ffb360c00cfa4fc80138b1752",0,0,4,12,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,11,1,23,0,0,0,0,0,3,3,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_0b7ee1958f68c82b823cbf513d06c502",11,94,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"144","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_018065106d79212461a4df7019b54aeb",0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_0295097a99ff182f719b221bb51cc414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,8,0,0,0,0,0,0,12,0
"146","Fungi_Calcarisporiellomycota_Calcarisporiellomycetes_Calcarisporiellales_Calcarisporiellaceae_Calcarisporiella_Calcarisporiella_thermophila_b5355017e786eb2e91e95f18d6ebd6de",0,0,0,0,2,0,4,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,5,3,0,3,4,0,0,0,0,1,0,0,2,0,0,1,0,0,13,0,0,0,0,0
"147","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_halotolerans_ba4a9f9487e4860b0413cf8504c0870b",0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0,2,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,10,0,0,0,0,0,12,0,4,0,0,11,0
"148","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a130bc6d32c696565fc97a677796b826",0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,12
"149","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_a2f62aca6844e4e4f46f003922d56861",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,2,2,6,0,0,0,0,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,7,0,2,0,0,0,0,0,0,0,0,2,0,3,0
"150","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_70f6aa041db96ab07bdbf6b2d72b1c23",0,0,0,1,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,2,5,0,0,2,0,0,0,4,0,0,0,2,0,4,1,0,0,0,0,1,0,0,2,12,0,0,0,2,0,0,2,0,1,3,0,0,0,1,3,0,1,0,0,0,1,0,3,1,0,0,0,0,4,0,0,0,1,0,0,4,0,0,1,0,1,1,0,0,0,5,3,2,3,7,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"151","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_700376ff87730ae092cf4c412c4334f6",0,1,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,15,0,0,4,0,0,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,3,18,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,19,0,3,0,0,1,0,0,0,0,0,4,0,0,8,1,0,3,0,0,0,1,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"152","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_3a5ccbfb779d64a0ef93c97d3eddde7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
